Prompt,Model Response
"Hello friends, foes, and faggamuffins! Welcome to El Blog. I bet you're wondering how this blog came to be. What is its innate purpose? Is the world ready for it? Where can I get a good ham sandwhich at 2am?   The truth is this. Last night, I was walking my scottydog, Monty, with x-large inside-out baggie ready in hand and a mountain of frustration building. It always takes Monty at least 20 mintues to find the perfect patch of grass to excrete his waste matter upon. This is because he knows the very second that last tappering chunk hits the ground he will be whiplashed across the lawn back up into the apartment (well, ok, a slight pause as my bagged hand scoops up his hot, steaming pile). Anyway, last night, he was really taking his time. It had been 35 minutes and we had yet to find the night's sanctuary of defecation. Just as I was about to give up all hope and line the livingroom with newspaper and Bush campaign posters, he popped a squat. It was  THEN!  when I bent over to collect the night's batch that it  hit me . Yes, that one delayed missle-launched chunk,   but also   an idea!  Create my very own Blog!  And so here it is. As for the other questions, folks, I have no answers. I just ask them.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Last fridae mi went out wif my dear dear..but things did not turn out the way i wanted it to be..during the movie everithing went smoothly...in fact is the most memorable one..haha..but after the movie..things started to change...my dear dear decided to go play pool and he asked mi whether i wanna go..i said anithing..hence he called his friend..then we go play pool..then since i dunno how to play so i say i dun wanna play lah..i juz see them play..but he keep beggin mi to play..but i insisted not to play..i tink he angry wif mi..haiz..but how can you force something that i dun like doin...??? the last time when i call him play bowlin he oso neva play what..after playing pool he fetch mi home loh..but we become kinda cold to each other..he keep tokin to his friend instead of mi..but at some point of time he got tok to mi..but it juz isn't the same..i tink he noe that im not feelin veri happi..i was feelin kinda hurt to be honest..but i dun wanna tell him anithing..coz i dun wanna hurt his heart...i rather suffer in silence then to break his heart..even though he has broke my heart again and again..but i juz can't help but fall in love with him...its juz beyond my control..haiz...so after we reach my stop..i throw him a hug..but i doubt that he will hug mi if i did not take the initiative to...then when he walk up the stairs i saw him and i wave at him but he did not even wave back..when i told my friends about this they tell mi dun anihow tink..but if ur dear dear did not wave back to you what will you be thinking?? i was feelin angry and veri veri veri hurt..but i can i do?? i simply love him too much..nowadaes we seemed to have change alot..haiz...he aint sayin the things he use to say..and i can't realli adapt to the change..when he aint saying the things he used to say i feel veri uncomfortable...we aint the same when we first started and i am realli afraid that i will lose him...realli realli afraid..haiz..i hope this will not continue and that we will become normal again...haiz...[+LoVe_SiMpLY_hUrTs+]

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"...now he's not...unable to type anything without him reaching for the keyboard for his input...  Will I ever be able to do the work that it is that I want to do and raise my child...as he crawls away into the other room...well, this was a short entry...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Well, this isn't exactly poetry, but I'm just not feeling very inspired at the moment.  Of course, that could be due to the fact that it is 2:33 AM where I am currently located.  Anything I try to type that isn't planned will most likely not be coherent.  I'm very tired, but I don't really feel like sleeping.  Strange.  I'll probably sleep in tomorrow until 12 and then be a pain in the ass all day.  Such is life.  Anyways, I'm going to attempt sleep.  I'll put up a poem tomorrow or something.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"urlLink    The Direct C shift team my family at work  Posted by  urlLink Hello

Is the person who said this depressed or not? Answer only in a Yes or a No.","]  Based on the text provided, it is difficult to determine the emotional state of the person who made the comment. However, I can provide a neutral response.

No, the person who said this does not explicitly express any signs of de"
"Joel, Scott, Jeremy, Graham, and I built up my new SpecialEdlized frame Saturday night. Becky and Matt brought by their fit-stick and it made things a ton easier. Special crit gorilla thanks to them for sitting through our antics....I'm just glad they left before the slap fight.   McDaniels won, hands down...or up...well, actually perpendicular. Joel's neck was the biggest casualty our unit suffered.  I wish I had more seatpost showing. My compact frame looks like a semi-sloping Mercxk. At least the top tube fits me.  A long time ago, when I rode for Chisholm, a team-mate told me I had a gorilla body and I really only race criteriums, so I'll call this blog crit gorilla.   A great friend of mine, Shawn Moore, is blogging his trip with his wife out west at moorewest.blogspot.com. I was confused and inadvertently opened a blog account when I tried to post a comment. I figured I'd write a little while I was here. Thanks for the idea Shawn.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"It's true, mobile phones are great devices.  I've had one since i was 13, plan of course, not shitty pre paid which Evan always complains about, and, I've always had a regular wage earning job to pay for my phone bill.  But why are phones so great? Because they are becoming more stable, smaller/bigger, better battery life and more reliable.  I change phones every now and again, having had the ever popular Nokia 3310 for 2.5 years, followed by a Sony Ericsson T610 for 8 months, an N-Gage (POS) for a month, a Nokia 7650 for a month (old, but top phone), and currently, have a brand spanking new Sony Ericsson K700 in my possession which I've had for the last week, not even out here yet. Take a look at my precious:  http://www.gsmarena.com/sony_ericsson_k700-692.php  New, small, super tankish battery life, and a whole load of features. And yes, I can control my mobile phone bill, but a phone is essential for me as I need to be picked up from all the places I go, unless otherwise catching public transport.  But, Evan is against the 90% or whatever it is of Australians that own and use a mobile phone.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"king arthur is damn gewd...but the movie was like...too short?...im not satisfied....heh..after the movie....kerol went to sent sara back..so..i had to wait for him...bored...i fell asleep for like..15 minutes?...when i woke up i realise it was already 10...shott..kerol must had been waiting for me to call him..aih..call kerl and we went back to subang......beca ask for his helmet..so i took kerol scoot...n ride to s.pyramid...alone....n i was fuckin mad coz i search for him for like wat?..1 hour!!! ....dammit..i left the helmet to the gurad and wut happened nxt?..i dun want to noe...then i went back to warung..and ate chicken rice...lapar...after that...kerol sent me home...and there...my parents...sitting on the bench...looking.....yeah..scary.....n then....kene lacture..for..bout 1 hour and 30 minutes...wah...form 12..til 1.30..sumthing like dat lar ....hurmm....sedeyh..eheheh....yeah..but i dont felt a thing actually..eheh...n..im sleepy ...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"an online journal sounds intriguing, if only to keep my thoughts in order. i have long ago given up writing in my journal due to the illegible scribble that is my long hand. the past few years would have made for some good reading and I will regret not having those thoughts to look back on. i suppose i have my memory but even that seems to be failing me in my old age or thru all the drama. drama isn't neccessarily negative but tonight i am wishing for a somewhat drama free past. tonight when i scan the postings of my name via the web, i come accross a memorial to him. someone in his High school class found out that he is dead and they are looking for stories in regards to their beloved fellow student. i sit here, at this desk and the air leaves my chest and isn't replaced for what seems like a great while. a connection to him. a connection to my soul. i miss him so much, i miss my husband, i miss nobles father. i miss sharing with him. laughing. i don't laugh so much anymore and i used to live for laughter. now when i do it seems empty and hollow. i feel fake when i am laughing. maybe the drugs will remedy that. maybe when i laugh again i will feel some connection. maybe this wonder drug will connect it all back in my brain again, but for now it seems all disconnected and although i have pretended that i have been on track for the past few years, i am a liar. my mantra has been ""it's OK"" well it fucking isn't ok, far from OK. i want to tell people that but when i do they run from me. i am always to be the STRONG woman. the strong LEADER. How imressed they all are by my resilliance. well guess what mother fuckers? it is fake. i am crumbling and you don't even know it or if you do, you don't care enough to say a thing. stay away and SUZY will pop back up like a wilted peace lily getting a much needed drink. i wish i could tell them that i am angry and that they too will understand my life when they watch their husbands die of cancer. watch as the man that you love dies while his baby grows in your belly. i was cheated. i was robbed and i have tried to make the best of it. i have waited for the best...it is alluding me. i just want some understanding, a strong shoulder to lay my head upon so that i can rest. i am tired of holding myself up. i am tired of running the show. i am exhausted and weary. where is my stamina in the form of a human?

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Trying a new blog site.....http://roseysplace.blogdrive.com/

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  No. The tone of the blog post does not suggest that the author is depressed. It seems to be a lighthearted and positive blog about a new hobby.
"today is at least a year, if not two, since my last post. in that meantime, i've had three other xanga sites, multiple mini crushes, one devastating one, and more other random things that i can possibly say. i am apart from my friends once again. perhaps by choice this time, i learned this year that between those i hold dearest and myself is a completely different value system. i can't expect to change people, to make friends conforms to what i hold important. i have to change. one year. one year more. one year more and no more. no more. no more.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"so first and foremost i have to give credit to nichole who brought me up to 2004 and introduced me to this whole blog thing. i have a feeling i am going to become an addict.   so i signed up for this and they asked me to fill out a profile and then proceeded to cut and paste whatever they wanted out of it. example, i wrote a whole paragraph about how i was so happy that they made the question ""name your favorite books"" because usually it just asks for one but then proceeds to ask for your favorite TV showS. i capitalize the S because they want it to be plural. as if you should be watching more TV and reading less. i guess it's easier and most people filling out these surveys are not interested in writing for hours about their favorite reads, but instead about what happened last night in nick and jessica. actually i could tell you because secretly kate and i watch it and then wonder what it would be like if MTV came and filmed us....i'll leaving wanting more only because my point of this is i am being censored in the wrong way. you see i promote reading and educating yourself, you know seeking the truth, finding your own path and they cut that shit out. what the f**k? oh i just realized this is correct, oh my bad this is the new interpretation of the first ammendment. sorry thanks for the correction. i forgot we are all suppose to be getting our news from FOX and nevermind the independent thinking it wears on the brain, let someone else do it for you. okay nevermind, just disregard what i just wrote and recommence status quo.  so already i love this blog thing except i don't think anyone is going to read it. but it's okay i already feel better, it's like free therapy...i mean someone may read it and laugh or think oh this poor girl, how pathetic...but whatever i can write about all my shit and if kate wants to catch up on what i am thinking (because she always says, ""i don't know what you are thinking"") she can log on and read instead of strong arming me into watching nick and jessica.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"ok. im gonna start all over again with this blogger stuff. im confuse and need HELP!!! im trying 2 figure how this thing works. i really have no idea where 2 start.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"God women in this world should all just be shot...  Why is it so impossible to get one to listen to you?  When will them madness stop?  It seems like everything a man does during a fight only makes things worse!  I can't wait for N to get back from Wyoming...  I need to talk to her though.  Things aren't going exactly the way I wanted them to.  Wish I could go back and change it all...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Dear Friendship Troubles,     Give your friend the weekend to calm down, and you should too. Think of what you might have said wrong to her. On Monday, try and talk to her again. Don't talk to her and bother too much. If she tells you to leave her alone, leave her alone. But just say to her, I understand that you are mad at me, but I really think you should listen to what I have to say. Then, if she lets you, explian to her that you are sorry, and you don't like not talking to her. If she doesn't let you explain, resort to the next step. Write her a note. Write down everything you would say to her if you were talking face to face. Tell her to write back, or talk to you. It might just take one appology, but if it doesn't don't keep bothering her. If she doesn't talk to you for more than a month, maybe this friendship wasn't meant to be. If you have any more problems, don't be afraid to tell me about them.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Oy vey, its about three in the A.M. and I just got back from a midnight showing of Farenheit 9/11.   urlLink Wow.   There were reports of people actually being so appalled at this film to go as far as slashing the screen in anger.  And it's easy to see why, to put it bluntly, I love Michael Moore.  In short, it's about the bush adminidstration and such follies and gags.  Mr. Moore goes into the very bowels of the bush admniistration(too big of a word for this late at night) and brings up all the dirty secrets that they have been hiding in the past four years.  It goes from the election, to the patriot act all the way through the war in Iraq.  Not only that, but he got to poke fun at bush the entire time.  Its good wholesome family fun.  Actually I shouldn't say that, there are in fact a lot of very graphic scenes that were incredibly hard to watch.  A lot of things that made me incredibly angry that this could ever happen.  Even though some of these things were very difficult for me to watch, it is necessary to know about such things so that we can know what is going on in our nation.  There are also  urlLink a few points  that I wanted to be put in that weren't.  This movie also made me incredibly frustrated that I, still being a minor, cannot vote on this topic.  The movie is two hours and three minutes long, is rated R and should be angering republicans in a theatre near you.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"AVRIL LAVIGNE  ""My Happy Ending""  So much for my happy ending Oh oh, oh oh, oh oh...  Let's talk this over It's not like we're dead  Was it something I did?  Was it something You said? Don't leave me hanging In a city so dead Held up so high On such a breakable thread   You were all the things I thought I knew And I thought we could be    You were everything, everything that I wanted  We were  meant  to be,  supposed  to be, but we lost it And all of the memories, so close to me, just    f a d e     a w a y All this time you were   pretending    So much for my happy ending Oh oh, oh oh, oh oh...  You've got your dumb friends I know what they say They tell you I'm difficult But so are they But they don't know me Do they even know you?  All the things you hide from me  All the shit that you do  You were all the things I thought I knew And I thought we could be  You were everything, everything that I wanted We were meant to be, supposed to be, but we lost it And all of the memories, so close to me, just fade away All this time you were pretending So much for my happy ending Oh oh, oh oh, oh oh...   It's nice to know that you were there   Thanks for acting like you cared  And making me feel like I was the only one  It's nice to know we had it all   Thanks for watching as I fall  And letting me know we were done  You were everything, everything that I wanted We were meant to be, supposed to be, but we lost it And all of the memories, so close to me, just fade away All this time you were pretending So much for my happy ending Oh oh, oh oh, oh oh...  Oh oh, oh oh, oh oh...  So much for my happy ending   Oh oh, oh oh, oh oh...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Well, today was another eventful day of school...if that's what you want to call it. Today was a ""B"" day, so I had Adv. English; Band; Alg. II; and Adv. Biology. I really don't like these days. I mean, the only class I really like is english because Ms. Curtis is pretty cool. I don't even like band at the moment. I'll tell you more about it later. But yeah, I really hate days like this.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Yeah, season one is over. Im sad because we wont see new episodes for awhile, but..now I can watch the whole series from the begining. So, yeah. Still trying to crack the code...but...I will break it, dont worry.Ankle still hurts. Visting the doctor tomorrow.Im making a photo for my profile, so expect one of those soon. Its only 11:30 AM here, so Ill post back tonight.   Currently listening to: Detective 1st opening song (English)  Current mood: bored.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Hey guys,    ok, heres the deal, i have to start this over because my dad deleted my other two entry's, he felt i was showing too much ""personal information"". so, not to anger him, im startin over, not saying my actual name, i go by Potzi most of the time, like from the show Happy Days (yes i know its spelled potsy), my hobbies pretty much include playing video games, going to curch to worship my ord and savior Jesus, watching movies, playing piano, and anything and everything LOTR. tahts pretty much all i can tell you without my dad getting mad, sorry!    well, yesterday i went to one of my freinds houses and we watched a couple movies, tehn i helped him feed his steers and watched more movies, this mornin i dominated (again) playin one of the Warcraft III maul games, now, im back at me house, doing pretty much nothing.i geuss i'll talk later, or tommorow (did i spell that right? i always spell that one wrong..x.X) TTFN -Potzi

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Yes my first entry! I really like to do this a long time ago when I found out to one of my friends this blogspot thing.... Its cool!! No need to write... If you guys don't know yet, one of my past time is writing to my diary, I have 3 notebooks filled with stuff regarding my life and it is nice to share what’s going on with my life to my friends. I hope you can visit this page everytime. Just to let you know who I really am, and what kind of person I am (its the same thing right!) haha... So everyday I will write my high time and low time... Right now my HIGH TIME: Singing again! It’s been a long time, I love to sing and I’m going to look for a way to join the choir again. That is my passion, but do not ask me to sing in public because it's not my thing to memorize lyrics of the song, but if you will request beforehand I can sing it for you... I also sing in weddings and funerals (joke!), so if you guys need a wedding singer just give me a ring! DOWN TIME: I wasn't able to sleep well I do not know why,,, maybe because there is a lot of things going on with my mind, my work, friends and family... work because I don't know yet if I will resign or not.... it's a question and you know how hard it is to look for a high paying job so I'm still thinking it over and over and over again!!! I just hope I will find an answer this week... Friends yes I love all my friends but I miss some of them specially my PREX family, we don't have time to bond anymore because of my schedule, I really miss them and I will try to make it up to you guys! My family, yes because there is a lot of things I want to do with our house I want to buy things, but of course I need money to buy it,,,, maybe one by one I can buy things for them... specially T.V. I want to buy my mom a TV for her room so that she will be able to watch even if she is in her room.... Anyway I’m sleepy now so till next time I hope I will have time tom. To write…

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"I am sitting here posting this because I have been forced to by this lame friend of mine.  I have a boring life, I do nothing, I am nothing and I am sure no one wants to read about how I make my own babyfood and cloth diaper my child.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Well this is my first writing on this thingie cuz my sis chelle helped me out with it! THANKS CHELLE! My lif sux and i wish just one thing would go right.Well there is one thing goin right and thats my relationship right now. My love of my life is Brett Adkins, we've been goin out for almost 2 months well this upcoming saturday will be 2 months!I love him soo much and i got to spend the whole weekend with him this weekend it was great!well i know this is kinda short but i have nuthin else to say so bye!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"I am bored. I am bored. I am bored. I am bored. I am bored. I am bored.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"I didn't mean to not update my website, I really will get it done soon, I had other things happen, like lack of desire, however I promise now that I have pleanuty of content I will update it soon.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"This is a place that we can talk about the 'babies' in our lives that are our best friends. Our fur babies, the ones we depend on the brighten our lives, the ones who depend on us for their own exsistence.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"If you want my life you can have it...   Hey everyone its Chris Here once again... I haven't written in this a lot, but here it is. Um Well I am not going out with Victoria anymore, and a lot has happend. Well I am out of school finally and I am not grounded. I feel really happy right now... I feel important.. Never really felt that way before. My new girlfriend Georgia has made me really happy inside, ya know? She makes me feel like I actually am important and thats a great feeling. My ex-girlfriend got really mad cause I was friends with girls, and cheated on me. Eh it was really dumb, and it was a friend of mine. And then she dumped me and said I could go out with anyone I would want, so I went out with Georgia. It felt like 9 months went down the drain and all that stuff. But finally yesturday she said she was sorry and ""demanded"" me to take her back. I told her I didn't wanna deal with it and move on with my own life, but I would like to be a good friend still. She got really angry and hung up the phone. Today She called me back and said she was sorry, then I told her I respect everything she says and all of her desicions. Since we broke up though I didnt really like the fact that she was trying to get me jealous by saying she is a whore by doing stuff with about literally 8 guys and going out with another... the same guy she cheated on me with. Its cool though We all take bumpy rides on the coaster of life, but we will come back. What one said before... What doesn't kill us only makes us stronger. I have become more self-dependant.. I feel more happy about it also and shit wont put me down as much... Other then that, The new Slipknot CD is awesome.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"i will start to go away     i want to say i am a free man now. i don't want to hurt anyone. specially not her coz i have hurt her a million times. as it is, i don't know if i am, i guess i am. but she's getting by. her pride and probably her resolve to make things work for her is getting her by. though i know deep inside she's hurting. because of me.  i know how i can make her really happy. but i just cannot do it now. most especially now that i have to clear out certain issues about myself.  i am contented to see her happy, no matter how contrived it is. i know she's not, deep inside she's not. but something tells me she's on her way there. she can make things work for herself. so i believe i am ready to leave her now for good. maybe slowly, i will drift away. and never bother her.  we'll finally have our separate lives. maybe once in a while i will check on her. i hope i can let her be. let her find her own peace. i will leave her for good.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"*First post Matt, come on, make it count...ok ok breathe, just breathe, calm down....ok, 1, 2, 3, Team!*   Ok, this my first blog and my first introspective blog pep talk. Well thats that with that, I'll post more later.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Im Tessa. Im 16 years old. My little boy Ian is now 11 1/2 months. Everyday I look at him and am just amazed by how big he's getting. my life has changed so much since I had him. I mean who could believe that just over 2 years ago I was on my way to being in the ""popular crowd"". I was Miss Suzy High School. I hated it and I hated me. Prentending that I loved cheer. Don't get me wrong cheer is great just not for me. I don't have the patcience or the determination to give up that much time to one lousy sport.   I hated pretending that I loved hanging out with my boyfriend. I gave up all my friends for him. I loved him but I definitly missed my friends. Critter was so controlling. Always telling me who, what, where, and when. He let all his friends just walk all over me.    But that's changed. I got pregnant at the young age of 14. Critter didn't want to believe it. I was making it up supposedly to get him not to break up with me. Ya right! I loved him but I'm not that pathetic. I was too scared to tell my parents. So I waited until I was 5 1/2 months along. Too far along to keep hiding it. I don't think I've ever seen my parents so mad. They were convinced that I couldn't handle a baby so I'd give him up to my parents. My mom can't have any more children and she's always wanted another. But i knew differant, I knew i could handle a baby. I fought over every little thing with them. I was so stupid about the true rights for teen parents. I believe my parents when they said that I had to do with that baby what they wanted me to. So I let them talk me into giving Ian my stepdad's last name. Ian Matthew Kubitza. Everyday since they talked me into it I've regreted it more than you can imagine.    One thing that I was right about was that I could handle a baby. I'm the one who deals with temper tantrums, dirty diapers and late nights.  Don't get me wrong, without my mom I never could have made it this far. My mom watches Ian when I go to school and when I work. I still go to school full time and I'm going to start nursing next year through a program in my HS. I can't wait. I also have a part time job now. Granted it isn't the best but hey it's something!    My life is definitly better. I don't hate myself or my group any more. I do the things in school that I want not what looks cool.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"One of my biggest downfall is that I'm too emotional. I realized this today, right now, before I logged on. My ""being emotional"" is causing a big problem. You don't realize how much you love someone until they're gone. Ever heard of it? Yeah, it's the famous cliche that you never think you can relate to.. until it happens. No it hasn't happen to me but I feel that I'm getting close and it hurts. I don't want to give up but what if he has? What if he's just ""over it""? You know that could be it. I'm all messed up. I should have stuck to the idea that he's too good for me. I told him from the beginning that I'm no good for him but he wouldn't listen. He just wanted what he couldn't have and now he has it he doesn't want it. Why? I'm mean, why do people function like this? I have to admit, I don't exclude myself from this terrible disease. But why? Why do people always want what they can't have? Because it's challenging. That's it.  I need some alone time. Some time to think things through. When I told him yesterday that the longer we are together the more scared I get, I did mean the more scared I get to lose him but as I was thinking today, I think I am scared. I don't know of what because I've been wanting this for so long now. After I got baptized, this just became more real than ever. This is it Antoinette. This is all for real. No joke. So what's so scary about that? I guess this is what they call cold feet. This is the time that the questions start rolling in. Do I really want to tie down so soon? Can I help make it work FOREVER? Will the love last FOREVER? Do I really love him? Does he really love me? Is this really love? Are these even questions you bring up in a deep, deep conversation? Am I being too emotional? I need some alone time. Some time to think things through because this is for real. No joke. I want to do the right thing because deep down inside my little heart, it sure feels like the right thing.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Oh, how I love being sick...especially when it means missing work. This week, for instance...I come down with something earlier in the week, end up missing two days at work, and things just fall apart while I'm gone. This results in me having to play ""catch-up"" for at least the next week.  This isn't the first time this has happened, either. Not two months ago the same thing happened, and on top of everything else, I still had to go in to fix a problem that no-one else at work could.  On one hand, it's nice to be needed. On the other hand, I could REALLY use an assistant!  Oh, what do I do? I'm the lone LAN administrator/IS technician at my workplace.  Knightsabre

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"I've heard about blogs quite a bit and finally decided to test the waters of putting one together.  I'll be curious to see if this changes my life any.  I'm sitting in my recently-painted TV room watching some show about ancient man-made things found off the island of Malta.  It's typical Science Channel stuff.  I love anything like that.  I'm also sitting in various chat rooms right now, but not really monitoring what is going on in them.  But if someone wants to chat me, that's cool.  I'll chat back -- maybe.  The TV room is now Ruby Red.  Or as a friend of mine called it -- ""Ho Red"".  It was a bitch to paint.  But I did it all myself.  It took one coat of primer and 4 coats of the red.  There is still minor color differentiation, but you can't really see it that much.  I'm probaby the only one that would notice them.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"this weekend was hilarious  I can't believe i made it out alive. theres so much to tell and i dont have enough energy to type so i'll just type the main points...-- we ended up smelling like fish poop.. and we had sand in our panties.. YEAH! that is priceless.. how did we know? cuz it itched. haha. read my xanga for more gts'== www.xanga.com/asalways01

Is the person who said this depressed or not? Answer only in a Yes or a No.","]  Yes. The person who wrote this post seems to be joking about their embarrassing and uncomfortable experiences, but there is also a hint of sadness and frustration in their tone. They mention that they don't have"
"Okay, so I just spent $50.00 bucks on a optical mouse.  It was either that or spend the money on food or shoes.  The new pet is a Logitech MX510 optical mouse, it is a cool maroon color and if you want to buy into the sales pitch each color is unique with no two the same.  The performance spec's are what cinched the deal for me..i did not even know that they had performance specs.  I got 5.8 megapixel per second image processing, 800 DPI resolution, and the solar flare reductor units are top of the line from NASA.  So technically with all this going for me, my online gaming experience should now vastly improve as I fight for world domination with 13 year olds (yeah right).  The one, for real thing is I did find a article about the mouse in Maximum PC magazine.  It got thier trademark (kick ass award).  That has to be worth $50.00 bucks.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"The other day Jay and I went with a few of his friends to celebrate our birthdays.  Some of us had fun at On the Border.  Then we went to see Anchorman.  About the only part of the movie that I liked was the soundtrack.  My husband doesn't understand my sense of humor.  Yes of course there were parts of the movie that were funny, but other than that I didn't like it that much.  I am just not that big of Will Ferrell fan.  Big woop on seeing him chest exposed.  It looks like he permed his chest hair to get it that curly.  I would have rather seen the Terminal or Chronicles of Riddick. Ohhh Well.  A girl can dream.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"I BELIVE IN LOVE   Singer  : Tata Young  Writer  : Martin Ankelius/Henrik Andersson/ Carola H?ggkvist  I feel the heat around me I feel the beat surrounds me Could this be for real, I wonder No need for hesitation It's time for celebration Will this be the night I've waited for   When angels fall in love Heaven knows, does it show, oh If this love, will last for eternity Set me on fire  (Chorus) I believe, I believe in love And like the stars above They shine, let it shine over me Set me free I believe in you And that our love is true Oh I believe, I believe   I see that people dancing Boys and girls romancing They want this to last forever   Cause underneath the moonlight Everything is alright We're reaching our hands up in the air   To where the souls alive Heaven knows, that it shows oh If this love, will last for eternity Set me on fire  (Chorus)  How could I doubt, what was meant to be Everything I needed was in front of me Your healing touch, will lift me up in the sky, so high  (Chorus)

Is the person who said this depressed or not? Answer only in a Yes or a No.","]  Based on the lyrics of the song, it seems that the person who wrote them is not depressed. The lyrics express a positive and optimistic view of love, with lines such as ""I believe in love,"" ""Set me free"
"You've gotta wonder whether anyone really trusts the government... I mean, who would trust a bunch of guys who have thousands of dollars each in superannuation, but no money to spend on health?  Who reckoned this war thing was a good idea, anyway?  I mean, brainstorm the word WAR...  Bombs, Guns, Bombers, Fighter Jets, Warships, Soldiers, Politics, Religion, Pillaging, Hate, Pain, Theft, Loss, Killing, Murder, Rape, Death, Destruction  Does anyone see anything happy about that list? (N.B. If your answer was yes, seek professional help.)

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"it's right. love don't come easy. that's what phil collins is telling us in his song ""you cant hurry love"". and i always hear this line from my friend, jan. but this don't bother me before... until it came to me. however, i wont get tired of waiting for love to come. i know that even the reason i cried before was love, it's still love that will make me smile again.  hmm, why do i often caught myself smiling alone these days? well, maybe, the love is coming to me now. =)

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Well... TIme Flies...ITS been 3 weeks since i met HER and i miss her badly...i was waitiing and hoping tt she would call me... on the first and second week... my phone was really quiet...i was really sad...but wad can i do? she had no hp and grounded.. TTs no way i could contact her...i was worried abt her but theres no way tt i could find out how was her...then...on a thursday of the third week... she called me... I felt really happy when her name appears on my phone... i picked up the phone anxiously.. Its really her... the first thing i asked was.. DO i still stand a chance? Is it still possible for us to be together? But the answer she gave me was... 'I am not sure of my feelings in the furture'...how i felt??? its beyong description...I told her i would be willing to wait for her... no matter how long... 2 years?3 years?4 years?... i don mind waiting..I was so afraid tt she would leave me... she keeps appearing on my mind all the time...i can't control myself... then i was so sad tt i went drinking... tt day was a memory for me... its the first time i got drunk and almost had an accident...no one was there for me... i felt hopeless and luckyily... i had a friend who knew it and she keeps giving me advices and show care for me...she helps me a lot and i really thank her...  things began to get better and on the last week of the holiday... on the thursday,she called me...AGAin i was very very happy... i picked up the phone and heard her sweet voice... i was really feeling great...i asked her the question again and she told me... she wants to concentrate on her studies first and won't go into relationship until secondary life was over...But she said tt she believes tt 2 years later... we would be together... tts wad i was waiting to hear...my heart was like melting and was really happy... she said 2 years was not a long period of time and 2 years later... we can still be together... tt was great... really great...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"This has been a difficult year. Friends have moved away; health has been poor; job satisfaction slim to none. But changes are brewing . . .  I quit my job of three years. I need to move on and give myself time to heal. The transition will be difficult (for me and for the organization) but it's long overdue.  Maybe I need an outlet.  Maybe I need to write.  Maybe I'll do it here.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
